調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,C120120_納税義務者数（所得割）【人】,F2201_第1次産業就業者数【人】,F2211_第2次産業就業者数【人】,F2221_第3次産業就業者数【人】
2015100000,2015年度,23210,愛知県 刈谷市,,286537267,73683,858,34619,38400
2015100000,2015年度,23211,愛知県 豊田市,,765620560,206103,3961,96032,103006
2015100000,2015年度,23212,愛知県 安城市,,328477695,88223,2243,38343,47343
2015100000,2015年度,23213,愛知県 西尾市,,273127821,79336,5060,38973,42627
2015100000,2015年度,23214,愛知県 蒲郡市,,113302369,36164,1768,15952,22310
2015100000,2015年度,23215,愛知県 犬山市,,106722951,34018,415,12192,21235
2015100000,2015年度,23216,愛知県 常滑市,,79693398,26326,844,8591,17091
2015100000,2015年度,23217,愛知県 江南市,,143213770,44685,451,15230,29793
2015100000,2015年度,23219,愛知県 小牧市,,236716121,73344,784,24092,41237
2015100000,2015年度,23220,愛知県 稲沢市,,201378271,63051,2974,20128,41744
2015100000,2015年度,23221,愛知県 新城市,,63007082,21910,2066,9096,12831
2015100000,2015年度,23222,愛知県 東海市,,183694690,54204,1262,21531,32673
2015100000,2015年度,23223,愛知県 大府市,,157588610,42760,763,18075,24790
2015100000,2015年度,23224,愛知県 知多市,,129836003,39443,829,14112,24837
2015100000,2015年度,23225,愛知県 知立市,,126445032,34870,267,15562,18540
2015100000,2015年度,23226,愛知県 尾張旭市,,133418113,37962,195,9973,26972
2015100000,2015年度,23227,愛知県 高浜市,,75232844,21961,239,11833,10708
2015100000,2015年度,23228,愛知県 岩倉市,,71342392,22707,239,6613,14525
2015100000,2015年度,23229,愛知県 豊明市,,113219732,32516,337,11736,19113
2015100000,2015年度,23230,愛知県 日進市,,167458815,40478,320,11782,28261
2015100000,2015年度,23231,愛知県 田原市,,92254327,30053,10932,9986,14620
2015100000,2015年度,23232,愛知県 愛西市,,84968555,28160,2524,9351,19076
2015100000,2015年度,23233,愛知県 清須市,,100056828,31048,401,9377,20717
2015100000,2015年度,23234,愛知県 北名古屋市,,125872138,38920,520,12804,26946
2015100000,2015年度,23235,愛知県 弥富市,,64528488,20443,886,6247,13942
2015100000,2015年度,23236,愛知県 みよし市,,114470356,27284,532,12088,16074
2015100000,2015年度,23237,愛知県 あま市,,119123308,38857,630,13343,25305
2015100000,2015年度,23238,愛知県 長久手市,,111524544,25543,207,6380,20307
2015100000,2015年度,23302,愛知県 東郷町,,69740026,19306,239,7619,12538
2015100000,2015年度,23342,愛知県 豊山町,,22139527,7140,70,2553,4973
2015100000,2015年度,23361,愛知県 大口町,,35247393,10696,190,4550,6617
2015100000,2015年度,23362,愛知県 扶桑町,,50184907,15724,223,5522,10177
2015100000,2015年度,23424,愛知県 大治町,,42422963,13789,202,4767,9465
2015100000,2015年度,23425,愛知県 蟹江町,,57165458,17825,178,5193,12929
2015100000,2015年度,23427,愛知県 飛島村,,7350305,2059,279,700,1408
2015100000,2015年度,23441,愛知県 阿久比町,,42333644,12551,410,4710,7790
2015100000,2015年度,23442,愛知県 東浦町,,80803793,23029,497,9566,13293
2015100000,2015年度,23445,愛知県 南知多町,,22691087,7610,1850,2379,5450
2015100000,2015年度,23446,愛知県 美浜町,,31468117,10200,776,3392,7249
2015100000,2015年度,23447,愛知県 武豊町,,61004792,19417,308,8472,11790
2015100000,2015年度,23501,愛知県 幸田町,,63244758,18142,755,8831,10029
2015100000,2015年度,23561,愛知県 設楽町,,5884233,2119,538,532,1425
2015100000,2015年度,23562,愛知県 東栄町,,3341588,1325,131,462,975
2015100000,2015年度,23563,愛知県 豊根村,,1267903,478,73,144,329
2015100000,2015年度,24201,三重県 津市,,428744633,126122,3585,33654,89292
2015100000,2015年度,24202,三重県 四日市市,,479348731,143123,2038,49713,89791
2015100000,2015年度,24203,三重県 伊勢市,,167009563,56458,1622,15939,41702
2015100000,2015年度,24204,三重県 松阪市,,210818001,70901,3105,23127,50332
2015100000,2015年度,24205,三重県 桑名市,,223397935,64509,1365,22569,43376
2015100000,2015年度,24207,三重県 鈴鹿市,,290785235,90310,2773,32574,55706
